id_gene_DM,gene_DM,biotype_DM,DM_up,DM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_MM,gene_MM,biotype_MM,MM_up,MM_down
FBgn0046692,Stlk,protein_coding,True,True,ENSG00000266173,STRADA,protein_coding,False,True,ENSMUSG00000069631,Strada,protein_coding,True,False
FBgn0050410,Rpi,protein_coding,True,True,ENSG00000153574,RPIA,protein_coding,True,False,ENSMUSG00000053604,Rpia,protein_coding,False,True
FBgn0025615,Torsin,protein_coding,True,True,ENSG00000136827,TOR1A,protein_coding,False,True,ENSMUSG00000026848,Tor1b,protein_coding,False,True
FBgn0030735,CG3632,protein_coding,True,False,ENSG00000100330,MTMR3,protein_coding,False,True,ENSMUSG00000018401,Mtmr4,protein_coding,True,False
FBgn0028968,gammaCOP,protein_coding,True,True,ENSG00000158623,COPG2,protein_coding,False,True,ENSMUSG00000025607,Copg2,protein_coding,True,False
FBgn0017572,Mo25,protein_coding,True,True,ENSG00000135932,CAB39,protein_coding,False,True,ENSMUSG00000021981,Cab39l,protein_coding,True,False
FBgn0036893,PIG-F,protein_coding,True,True,ENSG00000151665,PIGF,protein_coding,False,True,ENSMUSG00000024145,Pigf,protein_coding,True,False
FBgn0033060,CG7849,protein_coding,True,True,ENSG00000167112,TRUB2,protein_coding,False,True,ENSMUSG00000039826,Trub2,protein_coding,False,True
FBgn0039183,Dis3,protein_coding,True,False,ENSG00000166938,DIS3L,protein_coding,True,True,ENSMUSG00000032396,Dis3l,protein_coding,True,False
FBgn0284221,Sema5c,protein_coding,True,False,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True
FBgn0016059,Sema1b,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True
FBgn0011260,Sema2a,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True
FBgn0264273,Sema2b,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True
FBgn0011259,Sema1a,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True
FBgn0039229,Saf-B,protein_coding,True,True,ENSG00000160633,SAFB,protein_coding,False,True,"ENSMUSG00000032212,ENSMUSG00000071054","Sltm,Safb","protein_coding,protein_coding","True,False","False,True"
FBgn0037382,Hpr1,protein_coding,True,True,ENSG00000079134,THOC1,protein_coding,False,True,ENSMUSG00000024287,Thoc1,protein_coding,True,False
FBgn0038721,subdued,protein_coding,True,True,ENSG00000146205,ANO7,protein_coding,False,True,ENSMUSG00000055489,Ano5,protein_coding,True,True
FBgn0011763,Dp,protein_coding,True,True,ENSG00000198176,TFDP1,protein_coding,True,True,ENSMUSG00000038482,Tfdp1,protein_coding,False,True
FBgn0036888,CG9330,protein_coding,True,True,ENSG00000161204,ABCF3,protein_coding,False,True,ENSMUSG00000003234,Abcf3,protein_coding,True,False
FBgn0038195,CG3061,protein_coding,True,True,ENSG00000164031,DNAJB14,protein_coding,False,True,ENSMUSG00000074212,Dnajb14,protein_coding,True,False
FBgn0050156,CG30156,protein_coding,True,True,ENSG00000164031,DNAJB14,protein_coding,False,True,ENSMUSG00000074212,Dnajb14,protein_coding,True,False
FBgn0000119,arr,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True
FBgn0051092,LpR2,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True
FBgn0261260,mgl,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True
FBgn0053087,LRP1,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True
FBgn0066101,LpR1,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True
FBgn0004391,shtd,protein_coding,True,True,ENSG00000153107,ANAPC1,protein_coding,False,True,ENSMUSG00000014355,Anapc1,protein_coding,False,True
FBgn0030361,CG1492,protein_coding,True,False,ENSG00000100121,GGTLC2,protein_coding,True,False,ENSMUSG00000027603,Ggt7,protein_coding,True,False
FBgn0030796,CG4829,protein_coding,True,False,ENSG00000100121,GGTLC2,protein_coding,True,False,ENSMUSG00000027603,Ggt7,protein_coding,True,False
FBgn0025837,CG17636,protein_coding,True,True,ENSG00000100121,GGTLC2,protein_coding,True,False,ENSMUSG00000027603,Ggt7,protein_coding,True,False
FBgn0265140,Meltrin,protein_coding,True,True,"ENSG00000073670,ENSG00000148848,ENSG00000168615","ADAM11,ADAM12,ADAM9","protein_coding,protein_coding,protein_coding","False,True,False","True,True,True",ENSMUSG00000020926,Adam11,protein_coding,True,True
FBgn0085434,NaCP60E,protein_coding,True,True,"ENSG00000196876,ENSG00000169432","SCN8A,SCN9A","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000075318,ENSMUSG00000023033","Scn2a,Scn8a","protein_coding,protein_coding","True,True","False,False"
FBgn0024846,p38b,protein_coding,True,True,ENSG00000112062,MAPK14,protein_coding,False,True,ENSMUSG00000053137,Mapk11,protein_coding,False,True
FBgn0015765,p38a,protein_coding,True,True,ENSG00000112062,MAPK14,protein_coding,False,True,ENSMUSG00000053137,Mapk11,protein_coding,False,True
FBgn0267339,p38c,protein_coding,True,True,ENSG00000112062,MAPK14,protein_coding,False,True,ENSMUSG00000053137,Mapk11,protein_coding,False,True
FBgn0036500,CG7275,protein_coding,True,True,ENSG00000164934,DCAF13,protein_coding,False,True,ENSMUSG00000022300,Dcaf13,protein_coding,False,True
FBgn0003071,Pfk,protein_coding,True,True,ENSG00000067057,PFKP,protein_coding,True,False,"ENSMUSG00000033065,ENSMUSG00000021196","Pfkm,Pfkp","protein_coding,protein_coding","True,True","False,False"
FBgn0005696,DNApol-alpha73,protein_coding,True,False,ENSG00000014138,POLA2,protein_coding,False,True,ENSMUSG00000024833,Pola2,protein_coding,True,True
FBgn0031536,Cog3,protein_coding,True,True,ENSG00000136152,COG3,protein_coding,False,True,ENSMUSG00000034893,Cog3,protein_coding,False,True
FBgn0033755,ClC-b,protein_coding,True,True,ENSG00000103249,CLCN7,protein_coding,False,True,ENSMUSG00000036636,Clcn7,protein_coding,False,True
FBgn0035645,CG5592,protein_coding,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","protein_coding,protein_coding,protein_coding","True,False,True","False,True,False"
FBgn0035647,CG10486,protein_coding,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","protein_coding,protein_coding,protein_coding","True,False,True","False,True,False"
FBgn0259164,CG42269,protein_coding,False,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","protein_coding,protein_coding,protein_coding","True,False,True","False,True,False"
FBgn0034479,CG8654,protein_coding,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","protein_coding,protein_coding,protein_coding","True,False,True","False,True,False"
FBgn0033809,CG4630,protein_coding,True,False,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","protein_coding,protein_coding,protein_coding","True,False,True","False,True,False"
FBgn0086558,Ubi-p5E,protein_coding,True,True,ENSG00000170315,UBB,protein_coding,True,False,ENSMUSG00000019505,Ubb,protein_coding,True,False
FBgn0003943,Ubi-p63E,protein_coding,True,True,ENSG00000170315,UBB,protein_coding,True,False,ENSMUSG00000019505,Ubb,protein_coding,True,False
FBgn0029856,CG11700,protein_coding,True,True,ENSG00000170315,UBB,protein_coding,True,False,ENSMUSG00000019505,Ubb,protein_coding,True,False
FBgn0015828,TfIIEalpha,protein_coding,True,True,ENSG00000153767,GTF2E1,protein_coding,False,True,ENSMUSG00000022828,Gtf2e1,protein_coding,True,True
FBgn0265174,PIG-V,protein_coding,True,True,ENSG00000060642,PIGV,protein_coding,True,False,ENSMUSG00000043257,Pigv,protein_coding,True,True
FBgn0037660,beag,protein_coding,True,True,ENSG00000113141,IK,protein_coding,False,True,ENSMUSG00000024474,Ik,protein_coding,True,False
FBgn0033916,Usp20-33,protein_coding,True,True,ENSG00000136878,USP20,protein_coding,False,True,"ENSMUSG00000026854,ENSMUSG00000025437","Usp20,Usp33","protein_coding,protein_coding","True,False","False,True"
FBgn0030871,CG8142,protein_coding,True,True,ENSG00000163918,RFC4,protein_coding,True,False,ENSMUSG00000022881,Rfc4,protein_coding,True,False
FBgn0011224,heph,protein_coding,True,True,ENSG00000117569,PTBP2,protein_coding,False,True,ENSMUSG00000028134,Ptbp2,protein_coding,True,True
FBgn0030607,dob,protein_coding,True,True,ENSG00000177666,PNPLA2,protein_coding,False,True,ENSMUSG00000025509,Pnpla2,protein_coding,True,False
FBgn0036449,bmm,protein_coding,True,True,ENSG00000177666,PNPLA2,protein_coding,False,True,ENSMUSG00000025509,Pnpla2,protein_coding,True,False
FBgn0037549,CG7878,protein_coding,True,True,ENSG00000080007,DDX43,protein_coding,False,True,ENSMUSG00000070291,Ddx43,protein_coding,True,True
FBgn0033636,tou,protein_coding,True,False,ENSG00000123636,BAZ2B,protein_coding,False,True,ENSMUSG00000040054,Baz2a,protein_coding,True,False
FBgn0034849,CG3500,protein_coding,True,True,ENSG00000144043,TEX261,protein_coding,True,True,ENSMUSG00000014748,Tex261,protein_coding,True,False
FBgn0004875,enc,protein_coding,True,True,ENSG00000179912,R3HDM2,protein_coding,False,True,"ENSMUSG00000056211,ENSMUSG00000025404","R3hdm1,R3hdm2","protein_coding,protein_coding","True,False","False,True"
FBgn0023096,btv,protein_coding,True,True,ENSG00000187240,DYNC2H1,protein_coding,False,True,ENSMUSG00000047193,Dync2h1,protein_coding,True,False
FBgn0036273,INPP5E,protein_coding,True,True,ENSG00000148384,INPP5E,protein_coding,True,True,ENSMUSG00000026925,Inpp5e,protein_coding,True,False
FBgn0261983,l(2)gd1,protein_coding,True,True,ENSG00000132024,CC2D1A,protein_coding,True,False,ENSMUSG00000036686,Cc2d1a,protein_coding,True,False
FBgn0030574,CG9413,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True"
FBgn0002778,mnd,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True"
FBgn0039487,gb,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True"
FBgn0039844,CG1607,protein_coding,False,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True"
FBgn0028425,JhI-21,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True"
FBgn0260439,Pp2A-29B,protein_coding,True,True,ENSG00000105568,PPP2R1A,protein_coding,False,True,ENSMUSG00000032058,Ppp2r1b,protein_coding,True,False
FBgn0031020,Naa15-16,protein_coding,True,True,ENSG00000164134,NAA15,protein_coding,False,True,ENSMUSG00000022020,Naa16,protein_coding,False,True
FBgn0261710,nocte,protein_coding,True,True,ENSG00000117523,PRRC2C,protein_coding,False,True,ENSMUSG00000024393,Prrc2a,protein_coding,True,False
FBgn0026192,par-6,protein_coding,True,True,ENSG00000124171,PARD6B,protein_coding,False,True,ENSMUSG00000005699,Pard6a,protein_coding,True,False
FBgn0039877,Mccc1,protein_coding,True,True,ENSG00000078070,MCCC1,protein_coding,True,False,ENSMUSG00000027709,Mccc1,protein_coding,False,True
FBgn0002783,mor,protein_coding,True,True,ENSG00000139613,SMARCC2,protein_coding,False,True,ENSMUSG00000025369,Smarcc2,protein_coding,True,False
FBgn0039450,CG5484,protein_coding,True,True,ENSG00000174851,YIF1A,protein_coding,False,True,"ENSMUSG00000024875,ENSMUSG00000030588","Yif1a,Yif1b","protein_coding,protein_coding","True,True","False,False"
FBgn0033038,CG7791,protein_coding,True,True,ENSG00000027001,MIPEP,protein_coding,False,True,ENSMUSG00000021993,Mipep,protein_coding,True,False
FBgn0085370,Pde11,protein_coding,True,True,ENSG00000138735,PDE5A,protein_coding,False,True,ENSMUSG00000023868,Pde10a,protein_coding,True,True
FBgn0027330,l(1)G0020,protein_coding,True,True,ENSG00000135372,NAT10,protein_coding,False,True,ENSMUSG00000027185,Nat10,protein_coding,True,True
FBgn0261618,larp,protein_coding,True,True,ENSG00000155506,LARP1,protein_coding,False,True,"ENSMUSG00000025762,ENSMUSG00000037331","Larp1b,Larp1","protein_coding,protein_coding","True,True","False,False"
FBgn0038965,mats,protein_coding,True,True,"ENSG00000114978,ENSG00000173542","MOB1A,MOB1B","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000043131,Mob1a,protein_coding,False,True
FBgn0034975,enok,protein_coding,True,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000038909,ENSMUSG00000021767","Kat7,Kat6b","protein_coding,protein_coding","True,False","True,True"
FBgn0028387,chm,protein_coding,True,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000038909,ENSMUSG00000021767","Kat7,Kat6b","protein_coding,protein_coding","True,False","True,True"
FBgn0032633,Lrch,protein_coding,True,True,ENSG00000130224,LRCH2,protein_coding,False,True,ENSMUSG00000022801,Lrch3,protein_coding,False,True
FBgn0086712,Egm,protein_coding,True,True,ENSG00000072778,ACADVL,protein_coding,True,False,"ENSMUSG00000027710,ENSMUSG00000018574","Acad9,Acadvl","protein_coding,protein_coding","False,False","True,True"
FBgn0034432,CG7461,protein_coding,True,True,ENSG00000072778,ACADVL,protein_coding,True,False,"ENSMUSG00000027710,ENSMUSG00000018574","Acad9,Acadvl","protein_coding,protein_coding","False,False","True,True"
FBgn0027538,beta4GalNAcTA,protein_coding,True,True,ENSG00000117411,B4GALT2,protein_coding,False,True,ENSMUSG00000052423,B4galt3,protein_coding,False,True
FBgn0026630,nes,protein_coding,True,True,ENSG00000111684,LPCAT3,protein_coding,True,True,ENSMUSG00000004270,Lpcat3,protein_coding,True,False
FBgn0003612,Su(var)2-10,protein_coding,True,True,ENSG00000131788,PIAS3,protein_coding,False,True,"ENSMUSG00000032405,ENSMUSG00000025423","Pias1,Pias2","protein_coding,protein_coding","True,True","False,False"
FBgn0030655,CG9213,protein_coding,True,False,ENSG00000152404,CWF19L2,protein_coding,False,True,ENSMUSG00000025898,Cwf19l2,protein_coding,False,True
FBgn0004363,porin,protein_coding,True,True,ENSG00000078668,VDAC3,protein_coding,True,False,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","Vdac2,Vdac3,Vdac3-ps1","protein_coding,protein_coding,unprocessed_pseudogene","True,True,True","False,False,False"
FBgn0069354,Porin2,protein_coding,True,True,ENSG00000078668,VDAC3,protein_coding,True,False,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","Vdac2,Vdac3,Vdac3-ps1","protein_coding,protein_coding,unprocessed_pseudogene","True,True,True","False,False,False"
FBgn0004381,Klp68D,protein_coding,True,True,ENSG00000131437,KIF3A,protein_coding,False,True,"ENSMUSG00000027475,ENSMUSG00000018395","Kif3b,Kif3a","protein_coding,protein_coding","True,True","False,False"
FBgn0004380,Klp64D,protein_coding,True,True,ENSG00000131437,KIF3A,protein_coding,False,True,"ENSMUSG00000027475,ENSMUSG00000018395","Kif3b,Kif3a","protein_coding,protein_coding","True,True","False,False"
FBgn0001216,Hsc70-1,protein_coding,True,True,ENSG00000126803,HSPA2,protein_coding,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","protein_coding,protein_coding","False,True","True,False"
FBgn0001217,Hsc70-2,protein_coding,True,True,ENSG00000126803,HSPA2,protein_coding,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","protein_coding,protein_coding","False,True","True,False"
FBgn0266599,Hsc70-4,protein_coding,True,True,ENSG00000126803,HSPA2,protein_coding,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","protein_coding,protein_coding","False,True","True,False"
FBgn0001230,Hsp68,protein_coding,True,True,ENSG00000126803,HSPA2,protein_coding,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","protein_coding,protein_coding","False,True","True,False"
FBgn0024285,Srp54,protein_coding,True,True,"ENSG00000153914,ENSG00000116754","SREK1,SRSF11","protein_coding,protein_coding","False,True","True,True","ENSMUSG00000032621,ENSMUSG00000055436","Srek1,Srsf11","protein_coding,protein_coding","True,False","True,True"
FBgn0041604,dlp,protein_coding,True,True,ENSG00000213420,GPC2,protein_coding,True,False,"ENSMUSG00000031119,ENSMUSG00000029510","Gpc4,Gpc2","protein_coding,protein_coding","False,True","True,False"
FBgn0025716,Bap55,protein_coding,True,True,ENSG00000136518,ACTL6A,protein_coding,False,True,ENSMUSG00000027671,Actl6a,protein_coding,True,False
FBgn0028694,Rpn11,protein_coding,True,True,ENSG00000115233,PSMD14,protein_coding,False,True,ENSMUSG00000026914,Psmd14,protein_coding,False,True
FBgn0037203,slif,protein_coding,True,True,ENSG00000139514,SLC7A1,protein_coding,True,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","protein_coding,protein_coding","False,False","True,True"
FBgn0036493,CG7255,protein_coding,True,True,ENSG00000139514,SLC7A1,protein_coding,True,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","protein_coding,protein_coding","False,False","True,True"
FBgn0036764,CG5535,protein_coding,True,True,ENSG00000139514,SLC7A1,protein_coding,True,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","protein_coding,protein_coding","False,False","True,True"
FBgn0035798,frac,protein_coding,False,True,ENSG00000138829,FBN2,protein_coding,True,True,ENSMUSG00000024598,Fbn2,protein_coding,False,True
FBgn0053196,dpy,protein_coding,True,True,ENSG00000138829,FBN2,protein_coding,True,True,ENSMUSG00000024598,Fbn2,protein_coding,False,True
FBgn0038233,HtrA2,protein_coding,True,True,ENSG00000115317,HTRA2,protein_coding,False,True,ENSMUSG00000006205,Htra1,protein_coding,False,True
FBgn0036821,CG3961,protein_coding,True,False,ENSG00000164398,ACSL6,protein_coding,True,True,"ENSMUSG00000018796,ENSMUSG00000020333","Acsl1,Acsl6","protein_coding,protein_coding","True,True","False,False"
FBgn0040285,Scamp,protein_coding,True,True,ENSG00000085365,SCAMP1,protein_coding,False,True,ENSMUSG00000028049,Scamp3,protein_coding,True,False
FBgn0010194,Wnt5,protein_coding,True,True,ENSG00000134245,WNT2B,protein_coding,False,True,ENSMUSG00000030170,Wnt5b,protein_coding,False,True
FBgn0004360,Wnt2,protein_coding,True,False,ENSG00000134245,WNT2B,protein_coding,False,True,ENSMUSG00000030170,Wnt5b,protein_coding,False,True
FBgn0050338,CG30338,protein_coding,True,True,ENSG00000156253,RWDD2B,protein_coding,False,True,ENSMUSG00000041079,Rwdd2b,protein_coding,False,True
FBgn0266465,GckIII,protein_coding,True,True,ENSG00000115694,STK25,protein_coding,True,True,ENSMUSG00000026277,Stk25,protein_coding,True,True
FBgn0036043,CG8177,protein_coding,True,True,"ENSG00000033867,ENSG00000050438","SLC4A7,SLC4A8","protein_coding,protein_coding","False,True","True,True",ENSMUSG00000023032,Slc4a8,protein_coding,True,False
FBgn0259111,Ndae1,protein_coding,True,False,"ENSG00000033867,ENSG00000050438","SLC4A7,SLC4A8","protein_coding,protein_coding","False,True","True,True",ENSMUSG00000023032,Slc4a8,protein_coding,True,False
FBgn0003008,or,protein_coding,True,True,ENSG00000157823,AP3S2,protein_coding,False,True,ENSMUSG00000063801,Ap3s2,protein_coding,False,True
FBgn0262743,Fs(2)Ket,protein_coding,True,True,ENSG00000108424,KPNB1,protein_coding,True,True,ENSMUSG00000001440,Kpnb1,protein_coding,False,True
FBgn0031534,Snx1,protein_coding,True,True,"ENSG00000028528,ENSG00000205302","SNX1,SNX2","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032382,Snx1,protein_coding,True,False
FBgn0285911,Vps16A,protein_coding,True,True,ENSG00000215305,VPS16,protein_coding,False,True,ENSMUSG00000027411,Vps16,protein_coding,False,True
FBgn0032475,Sfmbt,protein_coding,True,True,ENSG00000011258,MBTD1,protein_coding,True,True,ENSMUSG00000022394,L3mbtl2,protein_coding,True,True
FBgn0028426,RNaseZ,protein_coding,True,False,ENSG00000006744,ELAC2,protein_coding,False,True,ENSMUSG00000020549,Elac2,protein_coding,False,True
FBgn0034068,casp,protein_coding,True,True,ENSG00000185104,FAF1,protein_coding,True,False,ENSMUSG00000010517,Faf1,protein_coding,True,False
